CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
3370	3556	-14.0159	0	0.803223	0.593099	19
3370	3554	-13.98	0	0.836394	0.570723	19
2274	2854	-42.0448	0	0.852701	0.564176	19
3008	4274	-100.014	0	0.835823	0.481447	19
3007	3009	-0.0020752	0	0.881485	0.609774	19
3007	3008	-0.00146484	0	0.878417	0.571093	19
3859	4274	-31.9888	0	0.838881	0.430979	19
3554	3624	-5.98792	0	0.844919	0.417299	19
3007	4274	-100.016	0	0.830255	0.447865	19
3008	3009	-0.000610352	0	0.888822	0.57472	19
4274	4591	-31.9894	0	0.817438	0.497681	19
3275	3628	-27.9967	0	0.8167	0.538442	19
3007	3386	-31.9911	0	0.869391	0.603244	19
2822	2854	-2.01251	0	0.885198	0.615833	19
2786	3311	-41.0277	0	0.817689	0.405713	19
3631	4143	-40.0287	0	0.828562	0.561028	19
3345	3631	-21.986	0	0.887315	0.406995	19
3345	3369	-2.01367	0	0.866425	0.609994	19
3009	3348	-27.9949	0	0.865723	0.465027	19
3347	3751	-31.9893	0	0.860818	0.593108	19
2804	3081	-20.9822	0	0.831815	0.593041	19
3369	3751	-29.9758	0	0.884147	0.606611	19
2819	3348	-42.012	0	0.816988	0.414429	19
3993	4403	-33.9841	0	0.838611	0.561981	19
2819	3193	-30.0119	0	0.820296	0.536575	19
2786	3081	-21.987	0	0.894707	0.614805	19
