55_14	C=C1C2CCC3C4(C)C(CC(C3(C1=O)C2O)OC(C)=O)C(C)(C)CCC4OC(C)=O
55_15	C=C1C2CC(C3C4(C)CCCC(C)(COC(C)=O)C4CC(C3(C2)C1=O)O)OC(C)=O
55_16	COCC(Cc1ccc(c(c1)OC)OC)C(Cc2ccc(c(c2)OC)OC)COC
55_17	CC=C(C)C(=O)OCC1=CC2C3C(C)(C)C3(CC(C)C2(C4C=C(C)C(C4(C1)O)=O)O)OC(C)=O
55_18	CC(C)=CC(=O)OC1C(C)C2(C3C=C(C)C(C3CC(=CC2C4C(C)(C)C41OC(C)=O)CO)=O)O
55_19	CC=C(C)C(=O)OC12CC(C)C3(C(C=C(CC4(C3C=C(C)C4=O)O)COC(C)=O)C2C1(C)C)O
55_20	CC=C(C)C(=O)OC1C(C)=CC23C(C)CC4C(C(C=C(C)C(C12O)O)C3=O)C4(C)COC(C)=O
55_21	CC=C(C)C(=O)OC1C(C)=CC23C(C)CC4C(C(C=C(COC(C)=O)C(C12O)O)C3=O)C4(C)C
55_22	CC1=CC2C(CCC3(C)C(C4C(C(C)CC4(C1=O)OC(C)=O)O)O3)C2(C)C
55_23	CC1=CC2C(CCC(=CC3C(C(C)CC3(C1=O)OC(C)=O)O)CO)C2(C)C
55_24	CC1=CC2C(CCC3(C)C(C4C(C(C)CC4(C1=O)O)OC(C)=O)O3)C2(C)C
55_25	C=C1C2CCC3C4(C)C(CC(C3(C1=O)C2O)O)C(C)(C)CCC4OC(C)=O
55_26	CC1CC2(C(C1O)C3C(C)(CCC4C(C=C(CO)C2=O)C4(C)C)O3)OC(c5ccccc5)=O
55_27	CC(C)C(=O)OC1C(C)CC2(C1C3C(C)(CCC4C(C=C(C)C2=O)C4(C)C)O3)OC(C)=O
55_28	C=Cc1c(C)c(cc2c1CCC3C2(C)CCC(C3(C)COC4C(C(C(C(CO)O4)O)O)O)O)O
55_29	CC=C(C)C(=O)OC1C2C(C(C(C)C(C34CC(C)C(C3(C=C(C)C1O)O4)OC(C)=O)=O)OC(C)=O)C2(C)C
55_30	CC=C(C)C(=O)OC1C(C)=CC23C(C)CC4C(C(C=C(COC(C)=O)C(C12O)OC(C)=O)C3=O)C4(C)C
55_31	CC=C(C)C(=O)OC1C(C)=CC23C(C(C)CC2(C(C(C)C(C4C(C1O)C4(C)C)OC(C)=O)=O)O3)OC(C)=O
55_32	CC1=CCC(C)(C)C(CC(C(C)=CC2C(C(C)CC2(C1=O)OC(C)=O)OC(c3ccccc3)=O)O)=O
55_33	CC1=CCC(C)(C)C(CCC2(C)C(C3C(C(C)CC3(C1=O)OC(C)=O)OC(c4ccccc4)=O)O2)=O
55_34	CC1C=CC(C)(C)C(CC(C(C)=CC2C(C(C)CC2(C1=O)OC(C)=O)OC(c3ccccc3)=O)O)=O
55_35	C=C1CCC(C(C)(C)C=CC(C)C(C2(CC(C)C(C2C1O)OC(c3ccccc3)=O)OC(C)=O)=O)=O
55_36	CC(C)C(=O)OC1C(C)C2(C3C=C(C)C(C3CC(=CC2C4C(C)(COC(C)=O)C41OC(C(C)C)=O)CO)=O)O
55_37	CC=C(C)C(=O)OC1C(C)=CC23C(C(C)CC2(C(C(C)C(C4C(C1OC)C4(C)C)OC(C)=O)=O)O3)OC(C)=O
55_38	CC(=O)OC1CCC(C)(C)C2CC(C34C(CCC(C(COC)C3=O)C4OC(C)=O)C21C)O
55_39	CCCC(=O)OC1C2C(C(C)CC2(C3(C(C)(C4C(C=CC(C41CO3)OC(C)=O)C(=C)C)O)O)OC(C)=O)OC(C)=O
55_40	CCCC(=O)OC1C2C(C(C)CC2(C(C(C)(C3C(C=CC(C31CO)OC(C)=O)C(=C)C)O)=O)OC(C)=O)OC(C)=O
55_41	CCCC(=O)OC1C2C(C(C)CC2(C(C(C)(C3C(C=CC(C31COC(C)=O)OC(C)=O)C(=C)C)O)=O)O)OC(C)=O
55_42	CC1C=CC(C)(C)C(CC(C(=C)C(C2C(C(C)CC2(C1=O)OC(C)=O)OC(C)=O)OC(C)=O)OC(C)=O)OC(C)=O
55_43	CC(=O)OC1C2C(C)(C(CC3C(C)(C)OC4(C(CCC324)=O)O)O)C5C(CC(c6ccoc6)C5(C)C1OC(C)=O)O
55_44	CC=C(C)C(=O)OC1C(C)=CC23C(C(C)CC2(C(C(C)C(C4C(C1OC(C)=O)C4(C)C)OC(C)=O)=O)O3)OC(C)=O
55_45	CC1CC23C(C1OC(c4ccccc4)=O)C5C(C)(C(CC(C(C)(C)C(C(C(C)C2O)O3)O)OC(C)=O)OC(C)=O)O5
55_46	CCC(=O)OC1C(C)CC2(C1C(C34COC(C)(C4C(C=CC3OC(c5cccnc5)=O)C(=C)C)C2=O)OC(CC)=O)OC(C)=O
55_47	CCCC(=O)OC1C2C(C(C)CC2(C(C3(C)C4C(C=CC(C41CO3)OC(c5cccnc5)=O)C(=C)C)=O)OC(C)=O)OC(CC)=O
55_48	CCCC(=O)OC1C(C)CC2(C1C(C34COC(C)(C4C(C=CC3OC(c5cccnc5)=O)C(=C)C)C2=O)OC(CC)=O)OC(C)=O
55_49	CCCC(=O)OC1C(C)CC2(C1C(C34COC(C)(C4C5C(CC3OC(C)=O)C5(C)C)C2OC(c6ccccc6)=O)OC(C)=O)OC(C)=O
